dir;receptor;fingerprint;model;mean_test_auc;mean_test_bal-acc;mean_test_acc;mean_test_mcc;mean_test_recall
data;HIVint;GraphOnly;RBF SVM;0.963;0.909;0.931;0.749;0.879
data;HIVprot;2D_H;LogisticRegression;0.963;0.895;0.919;0.768;0.937
data;kappa;3D_noH;LogisticRegression;0.963;0.892;0.915;0.776;0.938
data;5HT6;FP;RBF SVM;0.963;0.873;0.95;0.754;0.973
pca_100;delta;3D_H;Linear SVM;0.962;0.913;0.912;0.812;0.909
data;5HT6;2D_noH;RBF SVM;0.962;0.863;0.944;0.744;0.971
data;mi;3D_noH;LogisticRegression;0.962;0.917;0.932;0.83;0.95
data;5HT6;2D_H;RBF SVM;0.962;0.863;0.944;0.744;0.971
data;catL;GraphOnly;RBF SVM;0.962;0.914;0.912;0.793;0.917
pca_0.9;mi;3D_H;LogisticRegression;0.962;0.888;0.891;0.745;0.895
data;HIVint;2D_H;LogisticRegression;0.961;0.841;0.946;0.752;0.697
data;HIVint;GraphOnly;Linear SVM;0.961;0.912;0.935;0.762;0.879
data;HIVint;2D_noH;LogisticRegression;0.961;0.841;0.946;0.752;0.697
data;catL;2D_noH;Linear SVM;0.961;0.894;0.916;0.788;0.847
data;catL;3D_H;RBF SVM;0.961;0.893;0.908;0.771;0.861
data;D2;2D_H;LogisticRegression;0.961;0.908;0.913;0.811;0.926
data;D2;2D_noH;LogisticRegression;0.961;0.908;0.913;0.811;0.926
data;catL;2D_H;Linear SVM;0.961;0.894;0.916;0.788;0.847
data;kappa;KRFP;RBF SVM;0.961;0.895;0.924;0.8;0.956
data;kappa;3D_noH;Linear SVM;0.961;0.894;0.912;0.773;0.93
data;5HT6;3D_noH;RBF SVM;0.961;0.897;0.929;0.719;0.939
data;5HT6;Ext;LogisticRegression;0.96;0.889;0.947;0.752;0.964
data;HIVprot;2D_noH;RBF SVM;0.96;0.897;0.903;0.741;0.908
data;HIVprot;2D_noH;Linear SVM;0.96;0.899;0.918;0.768;0.932
data;HIVprot;2D_H;RBF SVM;0.96;0.897;0.903;0.741;0.908
data;kappa;2D_noH;LogisticRegression;0.96;0.885;0.898;0.744;0.912
data;mi;3D_noH;RBF SVM;0.96;0.9;0.927;0.813;0.958
data;HIVprot;2D_H;Linear SVM;0.96;0.899;0.918;0.768;0.932
data;kappa;2D_H;LogisticRegression;0.96;0.885;0.898;0.744;0.912
data;5HT6;3D_noH;Linear SVM;0.96;0.882;0.927;0.704;0.942
data;mi;2D_noH;LogisticRegression;0.959;0.919;0.93;0.827;0.943
data;5HT6;Ext;Linear SVM;0.959;0.904;0.943;0.748;0.954
data;5HT6;2D_noH;Linear SVM;0.959;0.901;0.934;0.734;0.946
data;catL;3D_H;LogisticRegression;0.959;0.891;0.905;0.764;0.861
pca_0.9;mi;3D_H;RBF SVM;0.959;0.889;0.893;0.75;0.898
data;mi;2D_H;LogisticRegression;0.959;0.919;0.93;0.827;0.943
data;5HT6;2D_H;Linear SVM;0.959;0.901;0.934;0.734;0.946
data;HIVprot;3D_noH;RBF SVM;0.958;0.895;0.896;0.727;0.897
data;delta;GraphOnly;RBF SVM;0.958;0.905;0.909;0.804;0.919
data;kappa;3D_noH;RBF SVM;0.958;0.882;0.913;0.769;0.945
data;catL;2D_H;RBF SVM;0.958;0.894;0.923;0.803;0.833
data;HIVint;KRFP;RBF SVM;0.958;0.886;0.957;0.821;0.788
data;5HT6;GraphOnly;RBF SVM;0.958;0.83;0.946;0.714;0.98
data;HIVint;KRFP;Linear SVM;0.958;0.912;0.957;0.827;0.848
data;catL;KRFP;LogisticRegression;0.958;0.888;0.901;0.757;0.861
data;catL;2D_noH;RBF SVM;0.958;0.894;0.923;0.803;0.833
pca_0.9;mi;3D_H;Linear SVM;0.958;0.891;0.894;0.753;0.898
data;mi;KRFP;LogisticRegression;0.957;0.891;0.904;0.767;0.92
data;D2;2D_noH;Linear SVM;0.956;0.903;0.9;0.789;0.893
data;5HT6;KRFP;LogisticRegression;0.956;0.876;0.935;0.711;0.953
data;HIVint;KRFP;LogisticRegression;0.956;0.929;0.965;0.862;0.879
data;5HT2A;FP;RBF SVM;0.956;0.839;0.902;0.713;0.955
data;D2;2D_H;Linear SVM;0.956;0.903;0.9;0.789;0.893
data;catL;3D_noH;RBF SVM;0.956;0.829;0.879;0.682;0.722
data;kappa;3D_H;LogisticRegression;0.956;0.888;0.903;0.756;0.92
data;kappa;FP;RBF SVM;0.956;0.871;0.903;0.747;0.938
data;kappa;3D_H;RBF SVM;0.956;0.881;0.903;0.751;0.928
data;HIVprot;3D_noH;Linear SVM;0.956;0.89;0.914;0.754;0.932
data;delta;3D_H;sAE_SoftMax;0.956;0.938;0.938;0.876;0.934
data;5HT6;3D_H;supervised_AE;0.956;0.904;0.904;0.812;0.959
